State,Category,Superset,Subsets,,,,,,
Tamil Nadu,Physical Appearance,Darker skin tone,Prominent cheekbones,broad noses,strong jawlines,,,,
Tamil Nadu,Physical Appearance,Expressive features,Big,expressive eyes,sharp facial features,,,,
Tamil Nadu,Physical Appearance,Women’s traditional appearance,Long black hair,braids or buns,wearing flowers in hair,,,,
Tamil Nadu,Physical Appearance,Men’s traditional appearance,Men with mustaches,shaved heads with small tuft (shikha),,,,,
Tamil Nadu,Clothing,Traditional attire,Veshti for men,saree for women,madisar saree style,,,,
Tamil Nadu,Clothing,Heavy jewelry,Bangles,necklaces,large earrings,heavy gold jewelry,,,
Tamil Nadu,Clothing,Religious marks,Bindi,traditional angavastram for men,,,,,
Tamil Nadu,Food and Lifestyle,Spicy,rice-based cuisine,Idli,dosa,sambar,predominantly vegetarian,,
Tamil Nadu,Food and Lifestyle,Agrarian lifestyle,Rice farming,involvement in agriculture,,,,,
Tamil Nadu,Food and Lifestyle,Regional pride in food,Preference for local flavors,spicy dishes,,,,,
Tamil Nadu,Food and Lifestyle,Tech-savvy,Tech hub,focus on government jobs,,,,,
Tamil Nadu,Work and Jobs,Skilled migrant workers,Highly skilled workers migrating for jobs,,,,,,
Tamil Nadu,Work and Jobs,Classical arts enthusiasts,Skilled in classical music,Bharatanatyam,,,,,
Tamil Nadu,Others,Strong regionalism,Preference for local leaders,promotion of Tamil identity,,,,,
Tamil Nadu,Others,Modern yet traditional,Balancing modernity with adherence to traditions,,,,,,
Maharashtra,Personality,Proud of Marathi identity,Highly proud of Marathi language,cultural heritage,anti-North Indian sentiment,,,,
Maharashtra,Personality,Hardworking,Industrious,driven,strong work ethic,,,,
Maharashtra,Personality,Politically active,Social and political activism,caste-conscious society,,,,,
Maharashtra,Personality,Assertive,Confident,career-oriented,focused on personal growth,,,,
Maharashtra,Personality,Cosmopolitan mindset,Open-minded,multicultural,financially ambitious,,,,
Maharashtra,Personality,Devout Hindus,Strong devotion to Hindu gods,deeply religious,,,,,
Maharashtra,Personality,Caste-conscious,Hierarchical society,caste-based discrimination,,,,,
Maharashtra,Physical Appearance,Darker skin tone,Prominent cheekbones,strong jawlines,athletic build,,,,
Maharashtra,Physical Appearance,Traditional appearance,Men with mustaches,women with long braided hair,,,,,
Maharashtra,Physical Appearance,Rural vs. urban contrast,Farmers in white dhotis,urbanites in western attire,,,,,
Maharashtra,Clothing,Traditional Maharashtrian attire,Nauvari saree,dhoti-kurta,Kolhapuri chappals,,,,
Maharashtra,Clothing,Heavy jewelry,Gold bangles,necklaces,green glass bangles,nath (nose ring),,,
Maharashtra,Clothing,Urban modern clothing,Western attire,preference for simplicity,,,,,
Maharashtra,Food and Lifestyle,Spicy,street food-centric diet,Vada pav obsession,spicy food,predominantly vegetarian,,,
Maharashtra,Food and Lifestyle,Agrarian lifestyle,Rice or bhakri-based meals,farmers’ diet,,,,,
Maharashtra,Food and Lifestyle,Fast-paced urban life,Career-oriented,cosmopolitan lifestyle in Mumbai,,,,,
Maharashtra,Food and Lifestyle,Cultural vibrancy,Devotees of Shivaji,intellectual capital in Pune,,,,,
Maharashtra,Work and Jobs,Skilled migrant workers,High economic migration from rural to urban areas,,,,,,
Maharashtra,Work and Jobs,Bollywood-centric culture,Glamour,film industry,financial capital in Mumbai,,,,
Maharashtra,Work and Jobs,Agricultural focus,Farmers,agrarian society,rural workforce,,,,
Maharashtra,Others,Regional pride,Preference for Marathi over Hindi,protection of &quot,Marathi Manoos&quot,,,,
Maharashtra,Others,Intellectual hub,Major educational hub in Pune,cultural capital,,,,,
Assam,Personality,Highly proud of Assamese identity,Strong connection to Assamese language,cultural pride,,,,,
Assam,Personality,Politically unstable,Ethnic conflict,insurgency,issues of immigration,,,,
Assam,Personality,Calm and reserved,Peace-loving,soft-spoken,gentle demeanor,,,,
Assam,Personality,Hardworking,Diligent,hardworking,involved in agriculture,,,,
Assam,Personality,Less educated,Limited access to quality education,marginalized communities,,,,,
Assam,Personality,Anti-immigration sentiment,Hostile toward migrants,xenophobic attitudes,,,,,
Assam,Physical Appearance,East Asian facial features,Almond-shaped eyes,lighter eyes (gray or hazel),Mongoloid appearance,,,,
Assam,Physical Appearance,Slim and sturdy build,Slim build,strong features among men,shorter stature,,,,
Assam,Physical Appearance,Traditional appearance,Women with bindi,forehead marks,men with gamucha and lungi,,,,
Assam,Physical Appearance,Rural look,Barefoot rural men,square jawlines,broad shoulders,,,,
Assam,Clothing,Traditional attire,Mekhela chador for women,dhoti-kurta for men,,,,,
Assam,Clothing,Traditional accessories,Gamucha (cloth towels),gold jewelry,floral ornaments in hair,,,,
Assam,Clothing,Rural simplicity,Men in gamucha and lungi,barefoot villagers,,,,,
Assam,Food and Lifestyle,Fish and rice-based diet,Fish as staple,rice-based meals,spicy food,,,,
Assam,Food and Lifestyle,Tea culture,Tea plantations,tea drinkers,handloom products,,,,
Assam,Food and Lifestyle,Rural and agrarian lifestyle,Farmers,fishermen,weavers,flood-prone areas,,,
Assam,Food and Lifestyle,Tribal traditions,Backward tribal rituals,outdated customs,distinct cultural identity,,,,
Assam,Work and Jobs,Involved in agriculture,Farmers,fishermen,weavers,rural economy,,,
Assam,Work and Jobs,Skilled artisans,Handloom products,weaving,traditional crafts,,,,
Assam,Work and Jobs,Marginalized workforce,Ethnic minorities,limited opportunities,underdeveloped region,,,,
Assam,Others,Isolated and remote,Remote location,limited connectivity,disconnected from mainstream,,,,
Assam,Others,Nature lovers,Strong affinity for wildlife,forest conservation,environmental consciousness,,,,
Uttar Pradesh,Personality,Politically dominant,Deeply involved in politics,power struggles,caste-based voting,,,,
Uttar Pradesh,Personality,Aggressive and confrontational,Rough,loud,hardworking,,,,
Uttar Pradesh,Personality,Highly religious,Overly devout Hindus,overly devout Muslims,rigid gender roles,,,,
Uttar Pradesh,Personality,Socially conservative,Patriarchal family structures,women confined to domestic duties,,,,,
Uttar Pradesh,Personality,Proud of Hindi,Resistant to other languages,strong focus on Hindi literature,,,,,
Uttar Pradesh,Personality,Uneducated and rural,Lacking access to modern education,backward mindset,,,,,
Uttar Pradesh,Personality,Caste-conscious,Caste-based discrimination,social hierarchies,caste-based politics,,,,
Uttar Pradesh,Physical Appearance,Darker skin tone,Strong,stocky build,long black braided hair,,,,
Uttar Pradesh,Physical Appearance,Traditional appearance,Men with mustaches,women with bindi,rural men wearing gamcha,,,,
Uttar Pradesh,Physical Appearance,Rural aesthetic,Bullock carts,simple village life,barefoot villagers,,,,
Uttar Pradesh,Clothing,Traditional attire,Dhoti-kurta,lungi,saree,salwar kameez,elderly women with ghoonghat,,
Uttar Pradesh,Clothing,Heavy jewelry,Bangles,nose rings (nath),simple footwear (chappals or barefoot),,,,
Uttar Pradesh,Clothing,Wearing turbans,Pagri as a symbol of pride,traditional headgear,,,,,
Uttar Pradesh,Food and Lifestyle,Simple,spicy diet,Roti and sabzi,rich oily food,primarily vegetarian,,,
Uttar Pradesh,Food and Lifestyle,Rural lifestyle,Farming,engaged in manual labor,poor migrant workers,,,,
Uttar Pradesh,Food and Lifestyle,Grand celebrations,Elaborate weddings,traditional festivals,kavi sammelan,,,,
Uttar Pradesh,Work and Jobs,Low-skilled migrant workers,Primarily agriculture,farming,manual labor,,,,
Uttar Pradesh,Work and Jobs,Poor infrastructure,Underdeveloped roads,limited healthcare,inefficient bureaucracy,,,,
Uttar Pradesh,Work and Jobs,Religious tourism,Associated with pilgrimage sites,economically challenged,,,,,
Uttar Pradesh,Others,Large families,Prefer large families,less concern for family planning,,,,,
Uttar Pradesh,Others,Crime and corruption,Lawlessness,caste-based crime,politically opportunistic,,,,
Uttar Pradesh,Others,Politically unstable,Ethnic conflict,insurgency,issues of immigration,,,,
Uttar Pradesh,Others,Isolated and remote,Remote location,limited connectivity,disconnected from mainstream,,,,
Uttar Pradesh,Others,Nature lovers,Strong affinity for wildlife,forest conservation,environmental consciousness,,,,
Karnataka,Personality,Proud of Kannada identity,Strong connection to Kannada language,resistance to Hindi,,,,,
Karnataka,Personality,Highly educated,Skilled in technology,strong education system,,,,,
Karnataka,Personality,Calm and reserved,Soft-spoken,non-confrontational,humble,,,,
Karnataka,Personality,Socially conservative,Traditional family structures,rigid gender roles,,,,,
Karnataka,Personality,Politically moderate,Focus on political stability,pragmatic approach,,,,,
Karnataka,Personality,Devout Hindus,Strong devotion to Hindu gods,sacred groves,pilgrimage sites,,,,
Karnataka,Personality,Global yet traditional,Cosmopolitan lifestyle with deep-rooted traditions,,,,,,
Karnataka,Physical Appearance,Darker skin tone,Lean or muscular build,thick mustaches,strong facial features,,,,
Karnataka,Physical Appearance,Traditional appearance,Men in lungi or dhoti,women in sarees,gold jewelry,,,,
Karnataka,Physical Appearance,Urban vs. rural contrast,Urban professionals in modern attire,rural men in simple village wear,,,,,
Karnataka,Clothing,Traditional attire,Mysore silk sarees,lungi,panche,turban (Mysuru Peta),,,
Karnataka,Clothing,Gold jewelry,Bangles,necklaces,earrings,,,,
Karnataka,Clothing,Westernized urbanites,Modern clothing in cities,tech hub influence,,,,,
Karnataka,Food and Lifestyle,Coconut-based cuisine,Mild cuisine,sambar,bisi bele bath,ragi mudde,,,
Karnataka,Food and Lifestyle,Coffee culture,Love for coffee,coffee producers (Coorg),coffee lovers,,,,
Karnataka,Food and Lifestyle,Agrarian lifestyle,Farming,ragi as staple,rural focus on agriculture,,,,
Karnataka,Food and Lifestyle,Wellness-focused,Yoga enthusiasts,focus on wellness,environmental consciousness,,,,
Karnataka,Work and Jobs,Tech-savvy workforce,Startup hub,Bengaluru as tech capital,,,,,
Karnataka,Work and Jobs,Skilled artisans,Mysore silk weaving,traditional crafts,,,,,
Karnataka,Work and Jobs,Multilingual workforce,Prefer Kannada but fluent in multiple languages,,,,,,
Karnataka,Others,Strong regional pride,Kannada Rajyotsava,cultural festivals,classical arts,,,,
Karnataka,Others,Nature lovers,Wildlife sanctuaries,natural landscapes,environmental focus,,,,
Kerala,Personality,Highly literate,Highest literacy rate,emphasis on academic achievement,knowledgeable,,,,
Kerala,Personality,Politically progressive,Left-leaning,socialism,communism,strikes and protests,,,
Kerala,Personality,Socially conscious,Forward-thinking,gender equality,socially progressive,,,,
Kerala,Personality,Hardworking,Hardworking migrant workers,especially in Gulf countries,,,,,
Kerala,Personality,Peaceful,Non-confrontational,laid-back,peaceful demeanor,,,,
Kerala,Personality,Caste-conscious,Deep-rooted caste discrimination,highly caste-conscious society,,,,,
Kerala,Physical Appearance,Darker skin tone,Angular jawlines,prominent noses,strong facial features,,,,
Kerala,Physical Appearance,Traditional appearance,Men wearing mundu,women wearing kasavu saree,shorter stature,,,,
Kerala,Physical Appearance,Rural aesthetic,Rural men with bare chests and mundu,women in simple traditional sarees,,,,,
Kerala,Physical Appearance,Well-groomed hair,Long,thick,black hair,well-oiled braids or loose hair,,,
Kerala,Clothing,Traditional attire,Mundu for men,kasavu saree for women,,,,,
Kerala,Clothing,Heavy jewelry,Bangles,necklaces,earrings,heavy gold jewelry,,,
Kerala,Clothing,Religious attire,Women with flowers in their hair,thick mustaches for men,,,,,
Kerala,Food and Lifestyle,Coconut-based cuisine,Puttu,appam,fish curry,sambar,rice-based meals,,
Kerala,Food and Lifestyle,Health-focused,Strong focus on Ayurveda,reliance on natural medicine,,,,,
Kerala,Food and Lifestyle,Agrarian lifestyle,Coconut trees,scenic landscapes,temple visits,,,,
Kerala,Food and Lifestyle,Tourism-centric,Land of backwaters,beautiful beaches,natural beauty,,,,
Kerala,Work and Jobs,Dominant in healthcare,Nurses,doctors,skilled in English,,,,
Kerala,Work and Jobs,Dominant in education,Teachers,emphasis on education sectors,,,,,
Kerala,Work and Jobs,Economically prosperous,Associated with Gulf remittances,economically successful,,,,,
Kerala,Others,Culturally proud,Proud of Malayalam language,classical arts,Mohiniyattam,Kathakali,,,
Kerala,Others,Harmonious society,Religious diversity,harmony among Hinduism,Christianity,and Islam,,,
Kerala,Others,Nature lovers,Scenic landscapes,coconut trees,backwaters,natural beauty,,,
Odisha,Personality,Simple and humble,Modest demeanor,non-assertive,down-to-earth,,,,
Odisha,Personality,Hardworking but limited to manual labor,Labor-intensive work,domestic work,farming,,,,
Odisha,Personality,Strong devotion to religion,Worship of Lord Jagannath,Rath Yatra,Jagannath culture,,,,
Odisha,Personality,Quiet and reserved,Shy,reserved,quiet demeanor,,,,
Odisha,Personality,Culturally traditional,Resistance to adopting other languages or cultures,proud of Odia identity,,,,,
Odisha,Personality,Poor communication skills,Struggling with Hindi or English,language barriers,,,,,
Odisha,Physical Appearance,Darker skin tone,Shorter stature,strong facial structures,tribal features,,,,
Odisha,Physical Appearance,Tribal aesthetic,Tribal tattoos,body art,minimalistic attire,,,,
Odisha,Physical Appearance,Rural appearance,Rural men with lean build,women with long,thick hair,,,,
Odisha,Clothing,Traditional attire,Women wearing Sambalpuri and Bomkai sarees,men wearing dhotis,,,,,
Odisha,Clothing,Tribal jewelry,Beaded jewelry,simple jewelry,minimal makeup,,,,
Odisha,Clothing,Conservative clothing,Women confined to domestic duties,modest and traditional aesthetic,,,,,
Odisha,Food and Lifestyle,Rice-based diet,Dalma,heavy reliance on rice,simple mild cuisine,,,,
Odisha,Food and Lifestyle,Rural and agrarian lifestyle,Predominantly engaged in agriculture,living in remote areas,,,,,
Odisha,Food and Lifestyle,Vulnerable to natural disasters,Cyclones,floods,living in vulnerable conditions,,,,
Odisha,Work and Jobs,Low-skilled migrant workers,Manual labor,low education levels,poor access to opportunities,,,,
Odisha,Work and Jobs,Economically dependent on mining,Coal,iron ore,and other natural resources,,,,
Odisha,Work and Jobs,Limited economic opportunities,High unemployment,underdeveloped infrastructure,,,,,
Odisha,Others,Culturally backward,Outdated customs,limited cultural identity,artistic weaving,,,,
Odisha,Others,Tribal pride,Distinctive tribal traditions,Sambalpuri and Bomkai textiles,,,,,
Odisha,Others,Not politically active,Limited political engagement,quiet and shy nature,,,,,
Madhya Pradesh,Personality,Simple and traditional,Rooted in old customs,modest communication style,,,,,
Madhya Pradesh,Personality,Calm and reserved,Laid-back,soft-spoken,less politically active,,,,
Madhya Pradesh,Personality,Strong regional pride,Proud of local language,culture,and traditions,,,,
Madhya Pradesh,Personality,Conservative,Adhering to traditional values,conservative social structures,,,,,
Madhya Pradesh,Personality,Devout and religious,Devotion to local deities,traditional religious practices,,,,,
Madhya Pradesh,Personality,Economically underdeveloped,Poor infrastructure,dependent on government schemes,,,,,
Madhya Pradesh,Personality,Politically passive,Less inclined to take risks,politically disengaged,,,,,
Madhya Pradesh,Physical Appearance,Darker skin tone,Distinctive tribal features,strong facial structures,,,,,
Madhya Pradesh,Physical Appearance,Lean and strong build,Men with mustaches,women with long black hair,,,,,
Madhya Pradesh,Physical Appearance,Tribal aesthetic,Traditional tattoos,body art,minimal makeup,,,,
Madhya Pradesh,Clothing,Traditional attire,Lehenga-choli for women,dhoti or kurta for men,,,,,
Madhya Pradesh,Clothing,Tribal jewelry,Silver bangles,necklaces,nose rings,beaded necklaces,,,
Madhya Pradesh,Clothing,Rural simplicity,Handwoven fabrics,turbans,barefoot or simple footwear (chappals),,,,
Madhya Pradesh,Food and Lifestyle,Wheat-based diet,Roti,sabzi,simple cuisine,,,,
Madhya Pradesh,Food and Lifestyle,Tribal lifestyle,Living in isolation,agrarian economy,tribal festivals,,,,
